query_name,query_name_key,name,name_key,symbol,isin,issuco_custno,share_type,issue_date,source,source_detail,last_refresh_ts
애머릿지,애머릿지,애머릿지,애머릿지,900100,USU652221081,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
파인디앤씨,파인디앤씨,파인디앤씨,파인디앤씨,049120,KR7049120009,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
고려신용정보,고려신용정보,고려신용정보,고려신용정보,049720,KR7049720006,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
재영솔루텍,재영솔루텍,재영솔루텍,재영솔루텍,049630,KR7049630007,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
잉크테크,잉크테크,잉크테크,잉크테크,049550,KR7049550007,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
유아이엘,유아이엘,유아이엘,유아이엘,049520,KR7049520000,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
오픈베이스,오픈베이스,오픈베이스,오픈베이스,049480,KR7049480007,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
비트플래닛,비트플래닛,비트플래닛,비트플래닛,049470,KR7049470008,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
코메론,코메론,코메론,코메론,049430,KR7049430002,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
셀루메드,셀루메드,셀루메드,셀루메드,049180,KR7049180003,,보통주,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260430,2026-05-05
